               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.060706,            0.062471,                   0,             0.59396,             0.86667,             0.81809,             0.41234,            0.043581,             0.04165,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.067679,            0.061335,                   0,             0.66993,                 0.6,             0.73919,             0.33214,            0.049018,            0.043919,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.074617,            0.051792,                   0,             0.66993,                 0.6,             0.73919,             0.33214,            0.049018,            0.043919,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.076014,            0.054297,                   0,                0.41,             0.68889,             0.57481,               0.208,            0.039364,            0.041821,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.053265,            0.065539,                   0,                0.41,             0.68889,             0.57481,               0.208,            0.039364,            0.041821,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.053762,            0.063906,                   0,                0.41,             0.68889,             0.57481,               0.208,            0.039364,            0.041821,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.05387,            0.064681,                   0,             0.40206,             0.84444,             0.56714,             0.20335,            0.042141,            0.041977,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.056021,            0.062088,                   0,             0.40206,             0.84444,             0.56714,             0.20335,            0.042141,            0.041977,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.048898,            0.062603,                   0,             0.56038,             0.77778,             0.76758,             0.33183,            0.037758,             0.04218,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.047762,            0.056784,                   0,             0.56038,             0.77778,             0.76758,             0.33183,            0.037758,             0.04218,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.049996,            0.057033,                   0,             0.49683,             0.84444,             0.66185,             0.26191,                0.04,            0.044422,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,             0.06703,            0.063532,                   0,             0.49683,             0.84444,             0.66185,             0.26191,                0.04,            0.044422,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.066721,            0.063315,                   0,             0.76597,              0.8729,             0.83022,             0.43693,            0.027477,            0.040094,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.04825,             0.05482,                   0,             0.76597,              0.8729,             0.83022,             0.43693,            0.027477,            0.040094,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.050222,            0.063462,                   0,             0.76597,              0.8729,             0.83022,             0.43693,            0.027477,            0.040094,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.045319,            0.057308,                   0,             0.56488,             0.88889,             0.72184,             0.39205,             0.02954,            0.040537,                   0,            0.007426,            0.007426,            0.007426
                  54,             0.04499,            0.056121,                   0,             0.56488,             0.88889,             0.72184,             0.39205,             0.02954,            0.040537,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.045846,            0.056223,                   0,             0.76541,             0.95556,             0.89624,             0.50637,            0.029505,            0.039799,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.048194,            0.056718,                   0,             0.76541,             0.95556,             0.89624,             0.50637,            0.029505,            0.039799,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.054208,            0.055468,                   0,             0.47612,             0.74732,             0.62134,             0.21271,             0.04717,            0.045955,                   0,            0.007228,            0.007228,            0.007228
