               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.065748,            0.062848,                   0,             0.51199,             0.67621,             0.58716,             0.24981,            0.061568,            0.044593,                   0,           0.0070696,           0.0070696,           0.0070696
                  39,            0.068645,            0.063093,                   0,             0.82533,             0.84008,             0.89467,              0.4471,            0.050544,            0.044144,                   0,           0.0069904,           0.0069904,           0.0069904
                  40,            0.064858,            0.054602,                   0,             0.82533,             0.84008,             0.89467,              0.4471,            0.050544,            0.044144,                   0,           0.0069112,           0.0069112,           0.0069112
                  41,            0.066343,            0.057996,                   0,             0.49158,             0.64444,             0.63686,             0.22748,            0.059565,            0.043939,                   0,            0.006832,            0.006832,            0.006832
                  42,            0.064175,            0.064966,                   0,             0.49158,             0.64444,             0.63686,             0.22748,            0.059565,            0.043939,                   0,           0.0067528,           0.0067528,           0.0067528
                  43,             0.06637,            0.060293,                   0,             0.49158,             0.64444,             0.63686,             0.22748,            0.059565,            0.043939,                   0,           0.0066736,           0.0066736,           0.0066736
                  44,            0.065003,            0.063317,                   0,             0.57129,             0.55556,             0.59981,              0.2514,            0.057762,            0.044314,                   0,           0.0065944,           0.0065944,           0.0065944
                  45,            0.066724,             0.06065,                   0,             0.57129,             0.55556,             0.59981,              0.2514,            0.057762,            0.044314,                   0,           0.0065152,           0.0065152,           0.0065152
                  46,            0.059175,            0.060557,                   0,             0.63378,                 0.8,             0.69635,             0.34651,            0.044744,            0.042716,                   0,            0.006436,            0.006436,            0.006436
                  47,            0.056063,            0.055848,                   0,             0.63378,                 0.8,             0.69635,             0.34651,            0.044744,            0.042716,                   0,           0.0063568,           0.0063568,           0.0063568
                  48,            0.057446,            0.057343,                   0,              0.3325,                 0.8,             0.36198,             0.18125,             0.05038,            0.046155,                   0,           0.0062776,           0.0062776,           0.0062776
                  49,            0.059575,            0.063801,                   0,              0.3325,                 0.8,             0.36198,             0.18125,             0.05038,            0.046155,                   0,           0.0061984,           0.0061984,           0.0061984
                  50,            0.059436,             0.06469,                   0,             0.60934,             0.79724,             0.73104,             0.38497,            0.043254,            0.043457,                   0,           0.0061192,           0.0061192,           0.0061192
                  51,            0.059588,            0.058147,                   0,             0.60934,             0.79724,             0.73104,             0.38497,            0.043254,            0.043457,                   0,             0.00604,             0.00604,             0.00604
                  52,            0.061553,            0.063553,                   0,             0.60934,             0.79724,             0.73104,             0.38497,            0.043254,            0.043457,                   0,           0.0059608,           0.0059608,           0.0059608
                  53,            0.058887,            0.059195,                   0,             0.60448,             0.82222,             0.74848,             0.49218,            0.040741,            0.042785,                   0,           0.0058816,           0.0058816,           0.0058816
